,Case.Number,Date.Time.Reported,Earliest.Occurrence,Latest.Occurrence,General.Location,Disposition,Classification,longitude,latitude,Category
1,12-000003,1/1/2012 0:35,1/1/2012 0:35,1/1/2012 0:35,Chamberlain Street and Welch Avenue,Arrest,liquor law violation,-93.6501941,42.0214439,Alcohol Related
2,12-000009,1/1/2012 1:46,1/1/2012 1:46,1/1/2012 1:46,Lincoln Way and University Boulevard,Arrest,operating while intoxicated,-93.6332661,42.0228746,Alcohol Related
3,12-000017,1/1/2012 3:26,1/1/2012 3:26,1/1/2012 3:26,Franklin Avenue and Lincoln Way,Arrest,public intoxication,-93.6647899,42.0228024,Alcohol Related
4,12-000107,1/5/2012 10:58,1/5/2012 10:58,1/5/2012 10:58,Memorial Union,Arrest,public intoxication,-93.6459454,42.0236502,Alcohol Related
5,12-000120,1/5/2012 22:56,1/5/2012 22:56,1/5/2012 22:56,Linden Hall,Arrest,drug violation,-93.6403252,42.0231404,Drug Related
6,12-000124,1/6/2012 2:07,1/6/2012 2:07,1/6/2012 2:07,State Gym,Arrest,public intoxication,-93.6536049,42.0250759,Alcohol Related
7,12-000124,1/6/2012 2:07,1/6/2012 2:07,1/6/2012 2:07,State Gym,Arrest,liquor law violation,-93.6536049,42.0250759,Alcohol Related
8,12-000124,1/6/2012 2:07,1/6/2012 2:07,1/6/2012 2:07,State Gym,Arrest,unlawful use of license,-93.6536049,42.0250759,License Related
9,12-000126,1/6/2012 2:43,1/6/2012 2:43,1/6/2012 2:43,2700 block of Lincoln Way,Arrest,public intoxication,-93.6545215,42.022377,Alcohol Related
10,12-000138,1/7/2012 1:06,1/7/2012 1:06,1/7/2012 1:06,Campus Avenue and West Street,Arrest,public intoxication,-93.6570365,42.0253277,Alcohol Related
11,12-000139,1/7/2012 1:33,1/7/2012 1:33,1/7/2012 1:33,200 block of Stanton Avenue,Arrest,public intoxication,-93.648229,42.021222,Alcohol Related
12,12-000169,1/8/2012 0:47,1/8/2012 0:47,1/8/2012 0:47,Friley Hall,Arrest,public intoxication,-93.65045,42.0239234,Alcohol Related
13,12-000170,1/8/2012 0:56,1/8/2012 0:56,1/8/2012 0:56,Lincoln Way and Welch Avenue,Arrest,public intoxication,-93.6501393,42.0227328,Alcohol Related
14,12-000173,1/8/2012 1:59,1/8/2012 1:59,1/8/2012 1:59,Ash Avenue and Lincoln Way,Arrest,agency assist,-93.64441,42.0226961,Miscellaneous
15,12-000174,1/8/2012 2:10,1/8/2012 2:10,1/8/2012 2:10,Lincoln Way and Stanton Avenue,Arrest,operating while intoxicated,-93.6485139,42.0227359,Alcohol Related
16,12-000175,1/8/2012 3:02,1/8/2012 3:02,1/8/2012 3:02,Hayward Avenue and Storm Street,Arrest,operating while intoxicated,-93.6516926,42.0161435,Alcohol Related
17,12-000185,1/8/2012 18:09,1/8/2012 18:09,1/8/2012 18:09,Helser Hall,Arrest,drug violation,-93.6518379,42.02424,Drug Related
18,12-000195,1/8/2012 23:06,1/8/2012 23:06,1/8/2012 23:06,Eaton Hall,Arrest,drug violation,-93.6528168,42.0245839,Drug Related
19,12-000202,1/9/2012 9:12,1/9/2012 9:12,1/9/2012 9:12,Bissell Road and Pammel Drive,Closed,intrastate warrant service,-93.6518944,42.030401,Miscellaneous
20,12-000239,1/9/2012 23:26,1/9/2012 23:26,1/9/2012 23:26,Freeman Hall,Closed,intrastate warrant service,-93.6416614,42.0247633,Miscellaneous
21,12-000382,1/12/2012 1:53,1/12/2012 1:53,1/12/2012 1:53,100 block of Welch Avenue,Arrest,public intoxication,-93.6501392,42.02272,Alcohol Related
22,12-000455,1/13/2012 0:48,1/13/2012 0:48,1/13/2012 0:48,Mortensen Road and Seagrave Boulevard,Arrest,operating while intoxicated,-93.6713608,42.0120265,Alcohol Related
23,12-000501,1/13/2012 20:00,1/13/2012 20:00,1/13/2012 20:00,Wilson Hall,Arrest,drug violation,-93.651021,42.0139143,Drug Related
24,12-000508,1/13/2012 20:47,1/13/2012 20:47,1/13/2012 20:47,Chamberlain Street and Lynn Avenue,Arrest,liquor law violation,-93.6464356,42.0215381,Alcohol Related
25,12-000523,1/13/2012 23:34,1/13/2012 23:34,1/13/2012 23:34,Linden Hall,Arrest,drug violation,-93.6403252,42.0231404,Drug Related
26,12-000523,1/13/2012 23:34,1/13/2012 23:34,1/13/2012 23:34,Linden Hall,Arrest,liquor law violation,-93.6403252,42.0231404,Alcohol Related
27,12-000537,1/14/2012 14:54,1/14/2012 14:54,1/14/2012 14:54,Chamberlain Street and Welch Avenue,Arrest,operating while intoxicated,-93.6501941,42.0214439,Alcohol Related
28,12-000579,1/14/2012 22:27,1/14/2012 22:27,1/14/2012 22:27,Beach Avenue and Lincoln Way,Arrest,liquor law violation,-93.639494,42.022655,Alcohol Related
29,12-000582,1/14/2012 23:14,1/14/2012 23:14,1/14/2012 23:14,Friley Hall,Arrest,liquor law violation,-93.65045,42.0239234,Alcohol Related
30,12-000591,1/15/2012 0:52,1/15/2012 0:52,1/15/2012 0:52,Lincoln Way and Sheldon Avenue,Arrest,operating while intoxicated,-93.6542392,42.0227224,Alcohol Related
31,12-000592,1/15/2012 0:54,1/15/2012 0:54,1/15/2012 0:54,200 block of Stanton Avenue,Arrest,public intoxication,-93.648229,42.021222,Alcohol Related
32,12-000592,1/15/2012 0:54,1/15/2012 0:54,1/15/2012 0:54,200 block of Stanton Avenue,Arrest,liquor law violation,-93.648229,42.021222,Alcohol Related
33,12-000595,1/15/2012 1:35,1/15/2012 1:35,1/15/2012 1:35,Buchanan Hall,Arrest,public intoxication,-93.642449,42.022653,Alcohol Related
34,12-000595,1/15/2012 1:35,1/15/2012 1:35,1/15/2012 1:35,Buchanan Hall,Arrest,interference,-93.642449,42.022653,Miscellaneous
35,12-000595,1/15/2012 1:35,1/15/2012 1:35,1/15/2012 1:35,Buchanan Hall,Arrest,theft,-93.642449,42.022653,Non-Violence Related
36,12-000618,1/15/2012 19:01,1/15/2012 19:01,1/15/2012 19:01,Hyland Avenue and Lincoln Way,Arrest,driving under suspension,-93.6555907,42.0227264,Vehicle Related
37,12-000620,1/15/2012 20:34,1/15/2012 20:34,1/15/2012 20:34,Martin Hall,Arrest,drug violation,-93.6529424,42.0238665,Drug Related
38,12-000632,1/16/2012 0:41,1/16/2012 0:41,1/16/2012 0:41,Larch Hall,Arrest,drug violation,-93.6382868,42.0232779,Drug Related
39,12-000632,1/16/2012 0:41,1/16/2012 0:41,1/16/2012 0:41,Larch Hall,Arrest,liquor law violation,-93.6382868,42.0232779,Alcohol Related
40,12-000633,1/16/2012 0:46,1/16/2012 0:46,1/16/2012 0:46,Chamberlain Street and Hayward Avenue,Arrest,driving under revocation,-93.6517204,42.0214474,Vehicle Related
41,12-000637,1/16/2012 2:12,1/16/2012 2:12,1/16/2012 2:12,Gray Avenue and Sunset Drive,Arrest,public intoxication,-93.6411862,42.0212956,Alcohol Related
42,12-000644,1/16/2012 4:05,1/16/2012 4:05,1/16/2012 4:05,400 block of Oakland Street,Arrest,public intoxication,-93.6614214,42.0282543,Alcohol Related
43,12-000644,1/16/2012 4:05,1/16/2012 4:05,1/16/2012 4:05,400 block of Oakland Street,Arrest,interference,-93.6614214,42.0282543,Miscellaneous
44,12-000646,1/16/2012 4:45,1/16/2012 4:45,1/16/2012 4:45,University Boulevard and Wallace Road,Arrest,operating while intoxicated,-93.6415414,42.0305048,Alcohol Related
45,12-000646,1/16/2012 4:45,1/16/2012 4:45,1/16/2012 4:45,University Boulevard and Wallace Road,Arrest,drug violation,-93.6415414,42.0305048,Drug Related
46,12-000646,1/16/2012 4:45,1/16/2012 4:45,1/16/2012 4:45,University Boulevard and Wallace Road,Arrest,liquor law violation,-93.6415414,42.0305048,Alcohol Related
47,12-000687,1/16/2012 23:23,1/16/2012 23:23,1/16/2012 23:23,Friley Hall,Arrest,drug violation,-93.65045,42.0239234,Drug Related
48,12-000687,1/16/2012 23:23,1/16/2012 23:23,1/16/2012 23:23,Friley Hall,Arrest,liquor law violation,-93.65045,42.0239234,Alcohol Related
49,12-000746,1/17/2012 22:08,1/17/2012 22:08,1/17/2012 22:08,Linden Hall,Arrest,intrastate warrant service,-93.6403252,42.0231404,Miscellaneous
50,12-000763,1/18/2012 2:01,1/18/2012 2:01,1/18/2012 2:01,Wilson Hall,Arrest,drug violation,-93.651021,42.0139143,Drug Related
51,12-000763,1/18/2012 2:01,1/18/2012 2:01,1/18/2012 2:01,Wilson Hall,Arrest,liquor law violation,-93.651021,42.0139143,Alcohol Related
52,12-000897,1/20/2012 1:43,1/20/2012 1:43,1/20/2012 1:43,Hayward Avenue and Lincoln Way,Arrest,public intoxication,-93.6517059,42.0228461,Alcohol Related
53,12-000902,1/20/2012 2:02,1/20/2012 2:02,1/20/2012 2:02,2400 block of Lincoln Way,Arrest,public intoxication,-93.6485946,42.0225662,Alcohol Related
54,12-000902,1/20/2012 2:02,1/20/2012 2:02,1/20/2012 2:02,2400 block of Lincoln Way,Arrest,interference,-93.6485946,42.0225662,Miscellaneous
55,12-000904,1/20/2012 2:17,1/20/2012 2:17,1/20/2012 2:17,Lincoln Way and Sheldon Avenue,Arrest,public intoxication,-93.6542392,42.0227224,Alcohol Related
56,12-000941,1/20/2012 20:02,1/20/2012 20:02,1/20/2012 20:02,Buchanan Hall,Arrest,drug violation,-93.642449,42.022653,Drug Related
57,12-000961,1/20/2012 22:42,1/20/2012 22:42,1/20/2012 22:42,Birch Hall,Arrest,liquor law violation,-93.6417417,42.0237087,Alcohol Related
58,12-000970,1/21/2012 0:30,1/21/2012 0:30,1/21/2012 0:30,Hayward Avenue and Hunt Street,Arrest,liquor law violation,-93.6517575,42.0201314,Alcohol Related
59,12-000972,1/21/2012 0:51,1/21/2012 0:51,1/21/2012 0:51,Knapp Street and Welch Avenue,Arrest,liquor law violation,-93.6500882,42.0191138,Alcohol Related
60,12-000973,1/21/2012 1:12,1/21/2012 1:12,1/21/2012 1:12,Chamberlain Street and Welch Avenue,Arrest,public intoxication,-93.6501941,42.0214439,Alcohol Related
61,12-000981,1/21/2012 2:01,1/21/2012 2:01,1/21/2012 2:01,100 block of Welch Avenue,Arrest,public intoxication,-93.6501392,42.02272,Alcohol Related
62,12-000984,1/21/2012 3:17,1/21/2012 3:17,1/21/2012 3:17,Lincoln Way and Lynn Avenue,Arrest,interference,-93.6464086,42.0227244,Miscellaneous
63,12-001024,1/21/2012 23:50,1/21/2012 23:50,1/21/2012 23:50,Friley Hall,Arrest,drug violation,-93.65045,42.0239234,Drug Related
64,12-001024,1/21/2012 23:50,1/21/2012 23:50,1/21/2012 23:50,Friley Hall,Arrest,liquor law violation,-93.65045,42.0239234,Alcohol Related
65,12-001033,1/22/2012 1:23,1/22/2012 1:23,1/22/2012 1:23,100 block of Sheldon Avenue,Arrest,public intoxication,-93.65443,42.0217676,Alcohol Related
66,12-001043,1/22/2012 3:18,1/22/2012 3:18,1/22/2012 3:18,Lot 59A,Arrest,public intoxication,-93.6535564,42.0234382,Alcohol Related
67,12-001043,1/22/2012 3:18,1/22/2012 3:18,1/22/2012 3:18,Lot 59A,Arrest,liquor law violation,-93.6535564,42.0234382,Alcohol Related
68,12-001050,1/22/2012 17:36,1/22/2012 17:36,1/22/2012 17:36,Daley Drive and Stange Road,Arrest,harassment,-93.64473,42.0338708,Non-Violence Related
69,12-001050,1/22/2012 17:36,1/22/2012 17:36,1/22/2012 17:36,Daley Drive and Stange Road,Arrest,driving violation,-93.64473,42.0338708,Vehicle Related
70,12-001080,1/22/2012 23:45,1/22/2012 23:45,1/22/2012 23:45,Helser Hall,Arrest,drug violation,-93.6518379,42.02424,Drug Related
71,12-001157,1/24/2012 17:02,1/24/2012 17:02,1/24/2012 17:02,Willow Hall,Arrest,intrastate warrant service,-93.6377325,42.0239136,Miscellaneous
72,12-001251,1/26/2012 0:04,1/26/2012 0:04,1/26/2012 0:04,Willow Hall,Arrest,intrastate warrant service,-93.6377325,42.0239136,Miscellaneous
73,12-001322,1/27/2012 1:07,1/27/2012 1:07,1/27/2012 1:07,Lincoln Way and Welch Avenue,Arrest,public intoxication,-93.6501393,42.0227328,Alcohol Related
74,12-001324,1/27/2012 1:43,1/27/2012 1:43,1/27/2012 1:43,Little Street and Welch Avenue,Arrest,operating while intoxicated,-93.650078,42.0176185,Alcohol Related
75,12-001329,1/27/2012 3:11,1/27/2012 3:11,1/27/2012 3:11,South 16th Street and University Boulevard,Arrest,operating while intoxicated,-93.6337562,42.0114627,Alcohol Related
76,12-001376,1/27/2012 23:00,1/27/2012 23:00,1/27/2012 23:00,Ash Avenue and Lincoln Way,Arrest,public intoxication,-93.64441,42.0226961,Alcohol Related
77,12-001392,1/28/2012 2:09,1/28/2012 2:09,1/28/2012 2:09,Chamberlain Street and Hayward Avenue,Arrest,public intoxication,-93.6517204,42.0214474,Alcohol Related
78,12-001442,1/28/2012 22:03,1/28/2012 22:03,1/28/2012 22:03,Larch Hall,Arrest,liquor law violation,-93.6382868,42.0232779,Alcohol Related
79,12-001458,1/29/2012 0:44,1/29/2012 0:44,1/29/2012 0:44,Lot 62,Arrest,liquor law violation,-93.6431646,42.0217945,Alcohol Related
80,12-001468,1/29/2012 1:33,1/29/2012 1:33,1/29/2012 1:33,Ash Avenue and Gable Lane,Arrest,operating while intoxicated,-93.6444023,42.0214733,Alcohol Related
81,12-001588,1/31/2012 0:14,1/31/2012 0:14,1/31/2012 0:14,Helser Hall,Arrest,intrastate warrant service,-93.6518379,42.02424,Miscellaneous
82,12-001703,2/1/2012 18:59,2/1/2012 18:59,2/1/2012 18:59,Frederiksen Court,Arrest,drug violation,-93.6440878,42.0340306,Drug Related
83,12-001703,2/1/2012 18:59,2/1/2012 18:59,2/1/2012 18:59,Frederiksen Court,Arrest,interference,-93.6440878,42.0340306,Miscellaneous
84,12-001731,2/2/2012 0:03,2/2/2012 0:03,2/2/2012 0:03,100 block of Welch Avenue,Arrest,public intoxication,-93.6501392,42.02272,Alcohol Related
85,12-001795,2/3/2012 1:44,2/3/2012 1:44,2/3/2012 1:44,Storm Street and Welch Avenue,Arrest,public intoxication,-93.6500563,42.0161339,Alcohol Related
86,12-001801,2/3/2012 2:13,2/3/2012 2:13,2/3/2012 2:13,100 block of Hayward Avenue,Arrest,public intoxication,-93.6517049,42.0227335,Alcohol Related
87,12-001806,2/3/2012 8:54,2/3/2012 8:54,2/3/2012 8:54,Lot 10,Arrest,driving under suspension,-93.6538945,42.0296641,Vehicle Related
88,12-001852,2/3/2012 23:29,2/3/2012 23:29,2/3/2012 23:29,Frederiksen Court,Arrest,drug violation,-93.6440878,42.0340306,Drug Related
89,12-001857,2/4/2012 0:23,2/4/2012 0:23,2/4/2012 0:23,Wallace Hall,Arrest,public intoxication,-93.6499279,42.0142261,Alcohol Related
90,12-001865,2/4/2012 1:45,2/4/2012 1:45,2/4/2012 1:45,Lot 13,Arrest,operating while intoxicated,-93.6510447,42.0274772,Alcohol Related
91,12-001868,2/4/2012 2:39,2/4/2012 2:39,2/4/2012 2:39,Knapp Street and Lynn Avenue,Arrest,operating while intoxicated,-93.6463784,42.019148,Alcohol Related
92,12-001908,2/4/2012 23:10,2/4/2012 23:10,2/4/2012 23:10,Alumni Center,Arrest,liquor law violation,-93.6387083,42.0181584,Alcohol Related
93,12-001908,2/4/2012 23:10,2/4/2012 23:10,2/4/2012 23:10,Alumni Center,Arrest,harassment,-93.6387083,42.0181584,Non-Violence Related
94,12-001926,2/5/2012 1:32,2/5/2012 1:32,2/5/2012 1:32,Chamberlain Street and Welch Avenue,Arrest,public intoxication,-93.6501941,42.0214439,Alcohol Related
95,12-001933,2/5/2012 2:12,2/5/2012 2:12,2/5/2012 2:12,Hayward Avenue and Lincoln Way,Arrest,public intoxication,-93.6517059,42.0228461,Alcohol Related
96,12-002060,2/7/2012 3:44,2/7/2012 3:44,2/7/2012 3:44,Atanasoff Hall,Arrest,trespass,-93.6495713,42.0281363,Non-Violence Related
97,12-002077,2/7/2012 20:05,2/7/2012 20:05,2/7/2012 20:05,Parks Library,Arrest,trespass,-93.6488141,42.0281254,Non-Violence Related
98,12-002165,2/9/2012 1:21,2/9/2012 1:21,2/9/2012 1:21,3400 block of Lincoln Way,Arrest,operating while intoxicated,-93.6648334,42.0225512,Alcohol Related
99,12-002214,2/9/2012 22:36,2/9/2012 22:36,2/9/2012 22:36,Wallace Hall,Arrest,drug violation,-93.6499279,42.0142261,Drug Related
100,12-002237,2/10/2012 2:04,2/10/2012 2:04,2/10/2012 2:04,Friley Hall,Arrest,public intoxication,-93.65045,42.0239234,Alcohol Related
101,12-002239,2/10/2012 2:22,2/10/2012 2:22,2/10/2012 2:22,200 block of Stanton Avenue,Arrest,public intoxication,-93.648229,42.021222,Alcohol Related
102,12-002316,2/11/2012 3:00,2/11/2012 3:00,2/11/2012 3:00,Chamberlain Street and Hayward Avenue,Arrest,public intoxication,-93.6517204,42.0214474,Alcohol Related
103,12-002316,2/11/2012 3:00,2/11/2012 3:00,2/11/2012 3:00,Chamberlain Street and Hayward Avenue,Arrest,drug violation,-93.6517204,42.0214474,Drug Related
104,12-002340,2/11/2012 13:49,2/11/2012 13:49,2/11/2012 13:49,Lot C2,Arrest,driving under suspension,-93.6348454,42.0199474,Vehicle Related
105,12-002390,2/12/2012 0:07,2/12/2012 0:07,2/12/2012 0:07,2600 block of Lincoln Way,Arrest,liquor law violation,-93.6517229,42.0227346,Alcohol Related
106,12-002394,2/12/2012 0:38,2/12/2012 0:38,2/12/2012 0:38,Knapp Street and Stanton Avenue,Arrest,liquor law violation,-93.6485073,42.0191298,Alcohol Related
107,12-002395,2/12/2012 0:59,2/12/2012 0:59,2/12/2012 0:59,Lot 62,Arrest,liquor law violation,-93.6431646,42.0217945,Alcohol Related
108,12-002396,2/12/2012 1:00,2/12/2012 1:00,2/12/2012 1:00,Friley Hall,Arrest,drug violation,-93.65045,42.0239234,Drug Related
109,12-002445,2/12/2012 22:01,2/12/2012 22:01,2/12/2012 22:01,Friley Hall,Arrest,liquor law violation,-93.65045,42.0239234,Alcohol Related
110,12-002492,2/13/2012 17:44,2/13/2012 17:44,2/13/2012 17:44,Carver Hall,Open,theft,-93.648337,42.0252611,Non-Violence Related
111,12-002496,2/13/2012 19:24,2/13/2012 19:24,2/13/2012 19:24,Friley Hall,Arrest,drug violation,-93.65045,42.0239234,Drug Related
112,12-002609,2/15/2012 16:09,2/15/2012 16:09,2/15/2012 16:09,Haber Road and University Boulevard,Arrest,driving under suspension,-93.6387948,42.0299502,Vehicle Related
113,12-002653,2/16/2012 2:24,2/16/2012 2:24,2/16/2012 2:24,Lincoln Way and Welch Avenue,Arrest,operating while intoxicated,-93.6501393,42.0227328,Alcohol Related
114,12-002762,2/17/2012 22:36,2/17/2012 22:36,2/17/2012 22:36,Larch Hall,Arrest,drug violation,-93.6382868,42.0232779,Drug Related
115,12-002773,2/18/2012 2:14,2/18/2012 2:14,2/18/2012 2:14,Wallace Hall,Arrest,public intoxication,-93.6499279,42.0142261,Alcohol Related
116,12-002818,2/18/2012 22:25,2/18/2012 22:25,2/18/2012 22:25,State Gym,Arrest,liquor law violation,-93.6536049,42.0250759,Alcohol Related
117,12-002833,2/19/2012 0:23,2/19/2012 0:23,2/19/2012 0:23,Beach Avenue and Lincoln Way,Arrest,operating while intoxicated,-93.639494,42.022655,Alcohol Related
118,12-002896,2/20/2012 0:37,2/20/2012 0:37,2/20/2012 0:37,Helser Hall,Arrest,intrastate warrant service,-93.6518379,42.02424,Miscellaneous
119,12-002641,2/21/2012 19:35,2/15/2012 23:25,2/21/2012 19:35,Helser Hall,Arrest,drug violation,-93.6518379,42.02424,Drug Related
120,12-002641,2/21/2012 19:35,2/21/2012 19:35,2/21/2012 19:35,Helser Hall,Arrest,liquor law violation,-93.6518379,42.02424,Alcohol Related
121,12-003025,2/22/2012 0:54,2/22/2012 0:54,2/22/2012 0:54,Colorado Avenue and Lincoln Way,Arrest,driving under suspension,-93.6630057,42.0227752,Vehicle Related
122,12-003028,2/22/2012 2:00,2/22/2012 2:00,2/22/2012 2:00,100 block of Welch Avenue,Arrest,public intoxication,-93.6501392,42.02272,Alcohol Related
123,12-003029,2/22/2012 2:10,2/22/2012 2:10,2/22/2012 2:10,Chamberlain Street and Welch Avenue,Arrest,public intoxication,-93.6501941,42.0214439,Alcohol Related
124,12-003030,2/22/2012 2:16,2/22/2012 2:16,2/22/2012 2:16,100 block of Welch Avenue,Arrest,public intoxication,-93.6501392,42.02272,Alcohol Related
125,12-003093,2/23/2012 2:27,2/23/2012 2:27,2/23/2012 2:27,Beach Avenue and Lincoln Way,Arrest,public intoxication,-93.639494,42.022655,Alcohol Related
126,12-003181,2/24/2012 1:53,2/24/2012 1:53,2/24/2012 1:53,Arbor Street and Sheldon Avenue,Arrest,operating while intoxicated,-93.6542412,42.0209168,Alcohol Related
127,12-003184,2/24/2012 2:14,2/24/2012 2:14,2/24/2012 2:14,Lot 59B,Arrest,operating while intoxicated,-93.652149,42.025067,Alcohol Related
128,12-003184,2/24/2012 2:14,2/24/2012 2:14,2/24/2012 2:14,Lot 59B,Arrest,drug violation,-93.652149,42.025067,Drug Related
129,12-003233,2/25/2012 0:51,2/25/2012 0:51,2/25/2012 0:51,300 block of Stanton Avenue,Arrest,liquor law violation,-93.6481458,42.0202997,Alcohol Related
130,12-003242,2/25/2012 2:16,2/25/2012 2:16,2/25/2012 2:16,Hayward Avenue and Knapp Street,Arrest,public intoxication,-93.6517339,42.0191154,Alcohol Related
131,12-003242,2/25/2012 2:16,2/25/2012 2:16,2/25/2012 2:16,Hayward Avenue and Knapp Street,Arrest,liquor law violation,-93.6517339,42.0191154,Alcohol Related
132,12-003275,2/25/2012 20:30,2/25/2012 20:30,2/25/2012 20:30,Willow Hall,Arrest,public intoxication,-93.6377325,42.0239136,Alcohol Related
133,12-003302,2/26/2012 1:09,2/26/2012 1:09,2/26/2012 1:09,Gable Lane and Gray Avenue,Arrest,liquor law violation,-93.6420176,42.0214957,Alcohol Related
134,12-003303,2/26/2012 1:29,2/26/2012 1:29,2/26/2012 1:29,Buchanan Hall,Arrest,liquor law violation,-93.642449,42.022653,Alcohol Related
135,12-003313,2/26/2012 3:08,2/26/2012 3:08,2/26/2012 3:08,Dotson Drive and Mortensen Road,Arrest,operating while intoxicated,-93.6736251,42.0120505,Alcohol Related
136,12-003380,2/27/2012 0:38,2/27/2012 0:38,2/27/2012 0:38,Lot 61,Arrest,operating while intoxicated,-93.6483506,42.0124764,Alcohol Related
137,12-003380,2/27/2012 0:38,2/27/2012 0:38,2/27/2012 0:38,Lot 61,Arrest,drug violation,-93.6483506,42.0124764,Drug Related
138,12-003422,2/28/2012 4:05,2/27/2012 21:06,2/28/2012 4:05,Friley Hall,Arrest,drug violation,-93.65045,42.0239234,Drug Related
139,12-003422,2/28/2012 18:47,2/27/2012 21:06,2/28/2012 18:47,Larch Hall,Arrest,liquor law violation,-93.6382868,42.0232779,Alcohol Related
140,12-002811,2/28/2012 21:57,2/18/2012 21:19,2/28/2012 21:57,Larch Hall,Arrest,criminal mischief,-93.6382868,42.0232779,Non-Violence Related
141,12-002811,2/28/2012 21:57,2/28/2012 21:57,2/28/2012 21:57,Larch Hall,Arrest,disorderly conduct,-93.6382868,42.0232779,Non-Violence Related
142,12-003499,2/28/2012 23:57,2/28/2012 23:57,2/28/2012 23:57,Friley Hall,Arrest,drug violation,-93.65045,42.0239234,Drug Related
143,12-003499,2/28/2012 23:57,2/28/2012 23:57,2/28/2012 23:57,Friley Hall,Arrest,liquor law violation,-93.65045,42.0239234,Alcohol Related
144,12-003644,3/2/2012 2:03,3/2/2012 2:03,3/2/2012 2:03,Chamberlain Street and Stanton Avenue,Arrest,public intoxication,-93.6484903,42.0214258,Alcohol Related
145,12-003701,3/2/2012 23:51,3/2/2012 23:51,3/2/2012 23:51,Campus Avenue and Lincoln Way,Arrest,liquor law violation,-93.6570426,42.0227269,Alcohol Related
146,12-003706,3/3/2012 0:24,3/3/2012 0:24,3/3/2012 0:24,Lincoln Way and Welch Avenue,Arrest,liquor law violation,-93.6501393,42.0227328,Alcohol Related
147,12-003715,3/3/2012 0:57,3/3/2012 0:57,3/3/2012 0:57,Hyland Avenue and Lincoln Way,Arrest,public intoxication,-93.6555907,42.0227264,Alcohol Related
148,12-003724,3/3/2012 2:11,3/3/2012 2:11,3/3/2012 2:11,Lincoln Way and Welch Avenue,Arrest,public intoxication,-93.6501393,42.0227328,Alcohol Related
149,12-003732,3/3/2012 3:00,3/3/2012 3:00,3/3/2012 3:00,Lincoln Way and Morrill Road,Arrest,operating while intoxicated,-93.6464078,42.0228283,Alcohol Related
150,12-003790,3/3/2012 23:02,3/3/2012 23:02,3/3/2012 23:02,Larch Hall,Arrest,liquor law violation,-93.6382868,42.0232779,Alcohol Related
151,12-003798,3/4/2012 0:39,3/4/2012 0:39,3/4/2012 0:39,Chamberlain Street and Hayward Avenue,Arrest,public intoxication,-93.6517204,42.0214474,Alcohol Related
152,12-003798,3/4/2012 0:39,3/4/2012 0:39,3/4/2012 0:39,Chamberlain Street and Hayward Avenue,Arrest,interference,-93.6517204,42.0214474,Miscellaneous
153,12-003798,3/4/2012 0:39,3/4/2012 0:39,3/4/2012 0:39,Chamberlain Street and Hayward Avenue,Arrest,liquor law violation,-93.6517204,42.0214474,Alcohol Related
154,12-003800,3/4/2012 0:58,3/4/2012 0:58,3/4/2012 0:58,Knapp Street and Welch Avenue,Arrest,liquor law violation,-93.6500882,42.0191138,Alcohol Related
155,12-003803,3/4/2012 1:40,3/4/2012 1:40,3/4/2012 1:40,2400 block of Lincoln Way,Arrest,liquor law violation,-93.6485946,42.0225662,Alcohol Related
156,12-003812,3/4/2012 2:33,3/4/2012 2:33,3/4/2012 2:33,300 block of Stanton Avenue,Arrest,public intoxication,-93.6481458,42.0202997,Alcohol Related
157,12-003813,3/4/2012 2:36,3/4/2012 2:36,3/4/2012 2:36,100 block of Stanton Avenue,Arrest,public intoxication,-93.6485138,42.0227307,Alcohol Related
158,12-003819,3/4/2012 3:21,3/4/2012 3:21,3/4/2012 3:21,Larch Hall,Arrest,public intoxication,-93.6382868,42.0232779,Alcohol Related
159,12-004001,3/7/2012 1:22,3/7/2012 1:22,3/7/2012 1:22,Forker Building,Arrest,public intoxication,-93.6403143,42.0268097,Alcohol Related
160,12-004001,3/7/2012 1:22,3/7/2012 1:22,3/7/2012 1:22,Forker Building,Arrest,trespass,-93.6403143,42.0268097,Non-Violence Related
161,12-004024,3/7/2012 18:42,3/7/2012 18:42,3/7/2012 18:42,Kildee Hall,Arrest,arson,-93.6438587,42.0295129,Fraud Related
162,12-004048,3/8/2012 0:26,3/8/2012 0:26,3/8/2012 0:26,Ross Hall,Arrest,trespass,-93.644204,42.0266305,Non-Violence Related
163,12-004052,3/8/2012 1:35,3/8/2012 1:35,3/8/2012 1:35,Helser Hall,Arrest,drug violation,-93.6518379,42.02424,Drug Related
164,12-004067,3/8/2012 16:44,3/8/2012 16:44,3/8/2012 16:44,Lot 26,Arrest,driving under suspension,-93.6479903,42.0298873,Vehicle Related
165,12-004104,3/9/2012 1:10,3/9/2012 1:10,3/9/2012 1:10,300 block of Welch Avenue,Arrest,operating while intoxicated,-93.6497151,42.0200666,Alcohol Related
166,12-004104,3/9/2012 1:10,3/9/2012 1:10,3/9/2012 1:10,300 block of Welch Avenue,Arrest,driving under revocation,-93.6497151,42.0200666,Vehicle Related
167,12-004104,3/9/2012 1:10,3/9/2012 1:10,3/9/2012 1:10,300 block of Welch Avenue,Arrest,liquor law violation,-93.6497151,42.0200666,Alcohol Related
