Call Received Date/Time,Incident ID,How Call was Rec'd,Nature Code Description,Location Address,Report Number Assigned to Event,Closing Disposition or Cancel Code
3/2/2023 05:32AM,230300433,SELF,TRAFFIC STOP / ENFORCEMENT,US HIGHWAY 30/INTERSTATE 35,NA,WAR
3/2/2023 05:20AM,230300430,W911,MEDICAL ASSIST/AMBULANCE CALL,3001-312 REGENCY CT,NA,NRSP
3/2/2023 02:15AM,230300408,W911,MEDICAL ASSIST/AMBULANCE CALL,2418 KENT AVE,NA,NRSP
3/2/2023 02:09AM,230300406,W911,CIVIL MATTER,2602 LINCOLN WAY,NA,NOR
3/2/2023 01:59AM,230300404,W911,MEDICAL ASSIST/AMBULANCE CALL,209-7 S 5TH ST,NA,NRSP
3/2/2023 01:30AM,230300397,E911,MEDICAL ASSIST/AMBULANCE CALL,3440 GRAND AVE,NA,NRSP
3/2/2023 01:22AM,230300394,PHONE,911 HANG UP / INCOMPLETE CALL,3512 HONEYSUCKLE RD,NA,ASC
3/2/2023 12:52AM,230300389,SELF,TRESPASS,1605 6TH ST,NA,ASC
3/2/2023 12:26AM,230300382,SELF,TRAFFIC STOP / ENFORCEMENT,LINCOLN WAY/HYLAND AVE,NA,WAR
3/2/2023 12:02AM,230300377,PHONE,LAW DEPARTMENT ASSIST,LINCOLN HIGHWAY/590TH AVE,NA,UTL
3/1/2023 10:41PM,230300358,PHONE,VIOLATION OF NO CONTACT ORDER,LINCOLN HIGHWAY/590TH AVE,NA,DUP
3/1/2023 10:10PM,230300354,PHONE,POSSESSION UNDERAGE,216-103 STANTON AVE,23000775,RPT
3/1/2023 09:48PM,230300350,SELF,TRAFFIC STOP / ENFORCEMENT,LINCOLN WAY/N OAK AVE,NA,WAR
3/1/2023 09:23PM,230300346,PHONE,SUSPICIOUS PERSON/VEH/ACTIVITY,2412 SOUTH LOOP DR,NA,UTL
3/1/2023 08:51PM,230300337,PHONE,MOTORIST ASSISTANCE,GRAND AVE/W RIVERSIDE RD,NA,ASC
3/1/2023 08:51PM,230300336,PHONE,MOTORIST ASSISTANCE,GRAND AVE/W RIVERSIDE RD,NA,DUP
3/1/2023 08:48PM,230300335,SELF,TRAFFIC STOP / ENFORCEMENT,100-BLK E 13TH ST,NA,CIT
3/1/2023 07:49PM,230300326,W911,MEDICAL ASSIST/AMBULANCE CALL,3619 STANGE RD,NA,NRSP
3/1/2023 07:20PM,230300321,PHONE,GENERAL ALARM BANK / RESIDENTI,711 24TH ST,NA,BIL
3/1/2023 07:03PM,230300319,PHONE,FIRE OTHER,109 MM INTERSTATE 35 N,NA,DUP
3/1/2023 06:50PM,230300315,SELF,TRAFFIC STOP / ENFORCEMENT,BILLY SUNDAY RD/S DUFF AVE,NA,WAR
3/1/2023 06:43PM,230300311,W911,MEDICAL ASSIST/AMBULANCE CALL,2602 YORKSHIRE ST,NA,NRSP
3/1/2023 06:33PM,230300308,PHONE,PRIVATE TOW,304 MAIN ST,NA,PTOW
3/1/2023 06:23PM,230300305,SELF,TRAFFIC STOP / ENFORCEMENT,3900-BLK STANGE RD,NA,WAR
3/1/2023 06:11PM,230300303,PHONE,DISORDERLY CONDUCT,1307-106 COCONINO RD,NA,NOR
3/1/2023 06:11PM,230300302,W911,DISORDERLY CONDUCT,S OAK AVE/S 2ND ST,NA,NOR
3/1/2023 05:15PM,230300285,W911,MOTOR VEH CRASH/PROP DAMAGE,S DAYTON AVE/ISAAC NEWTON DR,23000774,RPT
3/1/2023 05:12PM,230300284,SELF,TRAFFIC STOP / ENFORCEMENT,100-BLK 5TH ST,NA,WAR
3/1/2023 05:05PM,230300282,PHONE,CIVIL MATTER,405-3 E 6TH ST,NA,ASC
3/1/2023 05:04PM,230300280,E911,MEDICAL ASSIST/AMBULANCE CALL,3440-507 GRAND AVE,NA,NRSP
3/1/2023 04:57PM,230300277,PHONE,MEDICAL ASSIST/AMBULANCE CALL,4112-112 LINCOLN SWING,NA,NRSP
3/1/2023 04:57PM,230300275,PHONE,HARASSMENT,1111 DUFF AVE,NA,ASC
3/1/2023 04:56PM,230300274,SELF,TRAFFIC STOP / ENFORCEMENT,DUFF AVE/E 5TH ST,NA,CIT
3/1/2023 04:43PM,230300269,WALK,BURGLARY TO MOTOR VEHICLE,514 HAYWARD AVE,23000773,RPT
3/1/2023 04:39PM,230300268,PHONE,PARKING ENFORCEMENT/COMPLAINT,310 KELLOGG AVE,NA,NOR
3/1/2023 03:38PM,230300247,PHONE,THEFT / FRAUD / FORGERY,626-37 S 16TH ST,23000772,RPT
3/1/2023 03:23PM,230300242,SELF,TRAFFIC STOP / ENFORCEMENT,S 16TH ST/APPLE PL,NA,WAR
3/1/2023 03:09PM,230300240,W911,MEDICAL ASSIST/AMBULANCE CALL,3907 EMERALD DR,NA,NRSP
3/1/2023 02:39PM,230300227,PHONE,SUSPICIOUS PERSON/VEH/ACTIVITY,515 CLARK AVE,NA,ASC
3/1/2023 02:36PM,230300224,E911,MEDICAL ASSIST/AMBULANCE CALL,2322 E 13TH ST,NA,NRSP
3/1/2023 02:36PM,230300221,PHONE,MOTOR VEH CRASH/PROP DAMAGE,MCCORMICK AVE/E 13TH ST,NA,DUP
3/1/2023 02:35PM,230300220,PHONE,CIVIL MATTER,1428-103 WALTON DR,23000676,RPT
3/1/2023 02:27PM,230300219,PHONE,MOTOR VEH CRASH/PROP DAMAGE,1930 E 13TH ST,23000771,RPT
3/1/2023 02:23PM,230300218,SELF,TRAFFIC STOP / ENFORCEMENT,STANGE RD/ROXBORO DR,NA,WAR
3/1/2023 01:57PM,230300212,PHONE,TRESPASS,1445 BRECKINRIDGE CT,NA,NOR
3/1/2023 01:57PM,230300211,SELF,TRAFFIC STOP / ENFORCEMENT,24TH ST/STANGE RD,NA,CIT
3/1/2023 01:43PM,230300208,SELF,TRAFFIC STOP / ENFORCEMENT,STANGE RD/24TH ST,NA,WAR
3/1/2023 01:41PM,230300207,PHONE,CIVIL MATTER,1514 CALIFORNIA AVE,NA,ASC
3/1/2023 01:29PM,230300205,SELF,TRAFFIC STOP / ENFORCEMENT,HYLAND AVE/ONTARIO ST,NA,CIT
3/1/2023 01:27PM,230300203,PHONE,PARKING ENFORCEMENT/COMPLAINT,325 DUFF AVE,NA,NOR
3/1/2023 01:22PM,230300199,PHONE,PRIVATE TOW,2108-102 ISAAC NEWTON DR,NA,PTOW
3/1/2023 01:15PM,230300197,SELF,TRAFFIC STOP / ENFORCEMENT,ONTARIO ST/HYLAND AVE,NA,WAR
3/1/2023 01:07PM,230300196,PHONE,ANIMAL CALL,300-BLK MAIN ST,NA,TOT
3/1/2023 12:50PM,230300192,PHONE,MOTOR VEH CRASH/PROP DAMAGE,600 S 17TH ST,NA,NOR
3/1/2023 12:20PM,230300178,PHONE,VEHICLE FIRE,1015 DUFF AVE,NA,DUP
3/1/2023 12:11PM,230300175,PHONE,OPERATING WHILE INTOXICATED,3515 LINCOLN WAY,NA,NOR
3/1/2023 12:04PM,230300174,PHONE,REPOSSESSION,2402 AIRPORT CT,NA,REPO
