Call Received Date/Time,Incident ID,How Call was Rec'd,Nature Code Description,Location Address,Report Number Assigned to Event,Closing Disposition or Cancel Code
3/26/2023 05:25AM,230308405,PHONE,TRESPASS,1018 LINCOLN WAY,NA,CBC
3/26/2023 05:09AM,230308401,SELF,CRIME FREE HOUSING CHECK,2216 SE 16TH ST,NA,NAT
3/26/2023 05:00AM,230308400,SELF,CRIME FREE HOUSING CHECK,1605 S DAYTON PL,NA,NOR
3/26/2023 04:43AM,230308399,SELF,CRIME FREE HOUSING CHECK,2600 SE 16TH ST,NA,NOR
3/26/2023 04:24AM,230308395,SELF,CRIME FREE HOUSING CHECK,2605 SE 16TH ST,NA,NOR
3/26/2023 04:09AM,230308386,SELF,CRIME FREE HOUSING CHECK,1418 S DAYTON PL,NA,NOR
3/26/2023 03:57AM,230308384,SELF,CRIME FREE HOUSING CHECK,1400 S DAYTON PL,NA,NOR
3/26/2023 02:55AM,230308376,SELF,TRAFFIC STOP / ENFORCEMENT,113 MM INTERSTATE 35 N,NA,CIT
3/26/2023 02:53AM,230308375,PHONE,ANIMAL CALL,3621 LINCOLN WAY,NA,ASC
3/26/2023 02:40AM,230308372,SELF,TRAFFIC STOP / ENFORCEMENT,112 MM INTERSTATE 35 N,NA,CIT
3/26/2023 02:35AM,230308371,PHONE,PRIVATE TOW,601 S 17TH ST,NA,PTOW
3/26/2023 01:27AM,230308358,W911,MEDICAL ASSIST/AMBULANCE CALL,311 WESTBROOK LN,NA,NRSP
3/26/2023 01:22AM,230308353,W911,DISORDERLY CONDUCT,3404-9 COY ST,NA,ASC
3/26/2023 12:55AM,230308346,PHONE,PUBLIC INTOXICATION,1111 DUFF AVE,NA,UTL
3/26/2023 12:49AM,230308342,PHONE,DISTURBANCE & NOISE PARTY,301-107 S 4TH ST,NA,NOR
3/26/2023 12:43AM,230308339,PHONE,DISTURBANCE & NOISE PARTY,1419-206 S GRAND AVE,NA,NOR
3/26/2023 12:42AM,230308337,PHONE,PRIVATE TOW,1206 S 4TH ST,NA,PTOW
3/26/2023 12:41AM,230308336,PHONE,PRIVATE TOW,1307 S GRAND AVE,NA,PTOW
3/26/2023 12:40AM,230308335,PHONE,PRIVATE TOW,2700 LINCOLN WAY,NA,PTOW
3/25/2023 11:50PM,230308320,SELF,TRAFFIC STOP / ENFORCEMENT,E 9TH ST/CARROLL AVE,NA,WAR
3/25/2023 11:48PM,230308318,SELF,TRAFFIC STOP / ENFORCEMENT,S DUFF AVE/S 5TH ST,NA,WAR
3/25/2023 11:39PM,230308315,SELF,TRAFFIC STOP / ENFORCEMENT,LINCOLN WAY/KELLOGG AVE,NA,WAR
3/25/2023 11:16PM,230308313,W911,MEDICAL ASSIST/AMBULANCE CALL,5212 NEVADA CIR,NA,NRSP
3/25/2023 10:44PM,230308304,PHONE,RECKLESS DRIVER,2005 24TH ST,NA,UTL
3/25/2023 10:44PM,230308303,SELF,TRAFFIC STOP / ENFORCEMENT,LINCOLN WAY/S RIVERSIDE DR,NA,WAR
3/25/2023 10:32PM,230308301,PHONE,GENERAL ALARM BANK / RESIDENTI,710 S DUFF AVE,NA,BIL
3/25/2023 10:17PM,230308297,PHONE,DISTURBANCE & NOISE PARTY,127 S WILMOTH AVE,NA,NOR
3/25/2023 10:05PM,230308293,PHONE,MOTORIST ASSISTANCE,MORTENSEN PKWY/UNIVERSITY BLVD,NA,ASC
3/25/2023 10:02PM,230308291,W911,MEDICAL ASSIST/AMBULANCE CALL,2203 CLARK AVE,NA,NRSP
3/25/2023 09:20PM,230308275,W911,DISORDERLY CONDUCT,129 S DUFF AVE,NA,ASC
3/25/2023 09:15PM,230308274,PHONE,SEVERE WEATHER CONDITIONS,515 CLARK AVE,NA,INFO
3/25/2023 08:56PM,230308268,PHONE,SUSPICIOUS PERSON/VEH/ACTIVITY,1910 ISAAC NEWTON DR,NA,INFO
3/25/2023 08:46PM,230308264,PHONE,ANIMAL CALL,526-106 MAIN ST,NA,ASC
3/25/2023 07:33PM,230308247,PHONE,MISSING PERSON / RUNAWAY,703 BURNETT AVE,NA,GIE
3/25/2023 07:31PM,230308245,W911,BURGLARY / ATTEMPTED BURGLARY,219 S KELLOGG AVE,NA,NOR
3/25/2023 07:21PM,230308240,W911,VEHICLE IN DITCH,E 13TH ST/INTERSTATE 35 RAMP,23001076,RPT
3/25/2023 06:48PM,230308230,PHONE,VANDALISM / CRIMINAL MISCHIEF,2910 WEST ST,23001075,RPT
3/25/2023 06:20PM,230308225,PHONE,HARASSMENT,3803-9 TRIPP ST,NA,NOR
3/25/2023 05:55PM,230308220,W911,MOTOR VEH CRASH / INJURY,SHELDON AVE/LINCOLN WAY,23001072,RPT
3/25/2023 05:48PM,230308217,PHONE,BURGLARY / ATTEMPTED BURGLARY,1311-2 NORTH DAKOTA AVE,23001073,RPT
3/25/2023 05:47PM,230308216,SELF,TRAFFIC STOP / ENFORCEMENT,LINCOLN WAY/HAYWARD AVE,NA,WAR
3/25/2023 05:40PM,230308215,W911,DISORDERLY CONDUCT,3814 MARIGOLD DR,23001071,RPT
