Call Received Date/Time,Incident ID,How Call was Rec'd,Nature Code Description,Location Address,Report Number Assigned to Event,Closing Disposition or Cancel Code
3/16/2023 05:36AM,230305068,E911,MEDICAL ASSIST/AMBULANCE CALL,2724 NORTHRIDGE LN,NA,NRSP
3/16/2023 04:46AM,230305064,SELF,TRAFFIC STOP / ENFORCEMENT,US HIGHWAY 30/S DUFF AVE,NA,WAR
3/16/2023 02:37AM,230305052,SELF,SUSPICIOUS PERSON/VEH/ACTIVITY,SE 5TH ST/FREEL DR,NA,WAR
3/16/2023 02:14AM,230305048,SELF,TRAFFIC STOP / ENFORCEMENT,NORRIS ST/WILDER BLVD,NA,WAR
3/16/2023 01:46AM,230305042,SELF,TRAFFIC STOP / ENFORCEMENT,DOTSON DR/DOTSON PL,NA,CIT
3/16/2023 01:17AM,230305032,SELF,TRAFFIC STOP / ENFORCEMENT,13TH ST/HYLAND AVE,NA,CIT
3/16/2023 12:46AM,230305026,SELF,LAW DEPARTMENT ASSIST,MORTENSEN RD/HAYWARD AVE,NA,NOR
3/16/2023 12:40AM,230305024,SELF,OPEN DOOR,411 WELCH AVE,NA,ASC
3/16/2023 12:21AM,230305015,SELF,SUSPICIOUS PERSON/VEH/ACTIVITY,100 E LINCOLN WAY,NA,NOR
3/15/2023 11:06PM,230304996,PHONE,VANDALISM / CRIMINAL MISCHIEF,515 CLARK AVE,NA,CBC
3/15/2023 10:46PM,230304989,PHONE,MEDICAL ASSIST/AMBULANCE CALL,3115-123 ROY KEY AVE,NA,NRSP
3/15/2023 10:24PM,230304982,PHONE,MEDICAL ASSIST/AMBULANCE CALL,93 LAKEVIEW PL,NA,NRSP
3/15/2023 10:13PM,230304979,PHONE,MEDICAL ASSIST/AMBULANCE CALL,S FRANKLIN AVE/LINCOLN WAY,NA,NRSP
3/15/2023 09:47PM,230304975,PHONE,SUSPICIOUS PERSON/VEH/ACTIVITY,4536-1 TWAIN CIR,NA,ASC
3/15/2023 09:20PM,230304971,PHONE,MOTOR VEH CRASH/PROP DAMAGE,24TH ST/KENT AVE,23000951,RPT
3/15/2023 08:56PM,230304967,PHONE,MEDICAL ASSIST/AMBULANCE CALL,221 S RUSSELL AVE,NA,NRSP
3/15/2023 08:37PM,230304963,PHONE,HARASSMENT,204 BEEDLE DR,NA,ASC
3/15/2023 08:35PM,230304962,PHONE,MISSING PERSON / RUNAWAY,3905-7 TRIPP ST,23000952,RPT
3/15/2023 08:32PM,230304959,W911,SUSPICIOUS PERSON/VEH/ACTIVITY,409 S BELL AVE,NA,UTL
3/15/2023 08:29PM,230304958,PHONE,PUBLIC INTOXICATION,134 MAIN ST,23000949,ARR
3/15/2023 07:15PM,230304948,PHONE,DISORDERLY CONDUCT,2507 SE 16TH ST,NA,ASC
3/15/2023 07:15PM,230304947,PHONE,THEFT / FRAUD / FORGERY,3105 GRAND AVE,23000950,RPT
3/15/2023 05:51PM,230304932,PHONE,OPERATING WHILE INTOXICATED,24TH ST/STANGE RD,23000948,ARR
3/15/2023 05:43PM,230304929,PHONE,ELEVATOR ASSIST,3300 GEORGE W CARVER AVE,NA,INFO
3/15/2023 05:15PM,230304922,PHONE,MEDICAL ASSIST/AMBULANCE CALL,2310-106 NORTHCREST PKWY,NA,NRSP
3/15/2023 05:10PM,230304918,PHONE,DISORDERLY CONDUCT,KELLOGG AVE/6TH ST,NA,NOR
3/15/2023 05:02PM,230304913,PHONE,DISORDERLY CONDUCT,428-5 S 4TH ST,NA,ASC
3/15/2023 04:58PM,230304912,PHONE,PARKING ENFORCEMENT/COMPLAINT,4622 TWAIN ST,NA,ASC
3/15/2023 04:31PM,230304903,PHONE,THEFT / FRAUD / FORGERY,2901 OAKLAND ST,23000946,RPT
3/15/2023 04:29PM,230304902,PHONE,BURGLARY TO MOTOR VEHICLE,2901 OAKLAND ST,23000947,RPT
3/15/2023 04:10PM,230304898,PHONE,THEFT / FRAUD / FORGERY,3105 GRAND AVE,23000945,RPT
3/15/2023 03:56PM,230304893,PHONE,MEDICAL ASSIST/AMBULANCE CALL,2305-208 NORTHCREST PKWY,NA,NRSP
3/15/2023 03:34PM,230304875,PHONE,VEHICLE UNLOCK,4510-102 MORTENSEN RD,NA,ASC
3/15/2023 03:23PM,230304870,PHONE,DISTURBANCE & NOISE PARTY,1214 FLORIDA AVE,NA,ASC
3/15/2023 03:16PM,230304866,PHONE,MEDICAL ASSIST/AMBULANCE CALL,4700-307 MORTENSEN RD,NA,NRSP
3/15/2023 02:30PM,230304859,PHONE,MOTOR VEH CRASH/PROP DAMAGE,BUCKEYE AVE/S 16TH ST,NA,ASC
3/15/2023 02:25PM,230304856,PHONE,ANIMAL CALL,905 9TH ST,NA,ASC
3/15/2023 02:20PM,230304853,PHONE,HIT & RUN PROPERTY DAMAGE,1614 S KELLOGG AVE,NA,NOR
3/15/2023 02:20PM,230304852,PHONE,CIVIL MATTER,515 CLARK AVE,NA,NOR
3/15/2023 02:13PM,230304851,PHONE,SCAM,1100-119 ADAMS ST,23000943,RPT
3/15/2023 01:22PM,230304839,PHONE,RECKLESS DRIVER,BEACH AVE/LINCOLN WAY,NA,UTL
3/15/2023 01:09PM,230304835,PHONE,MEDICAL ASSIST/AMBULANCE CALL,1325-4 COCONINO RD,NA,DUP
3/15/2023 12:44PM,230304829,PHONE,HIT & RUN PROPERTY DAMAGE,3504 GRAND AVE,NA,NOR
3/15/2023 12:17PM,230304824,PHONE,PARKING ENFORCEMENT/COMPLAINT,100-BLK MAIN ST,NA,ASC
3/15/2023 12:06PM,230304823,PHONE,MOTOR VEH CRASH/PROP DAMAGE,S 4TH ST/S GRAND AVE,NA,ASC
3/15/2023 11:33AM,230304813,SELF,MOTORIST ASSISTANCE,S DUFF AVE/S 5TH ST,NA,ASC
3/15/2023 11:29AM,230304810,PHONE,MEDICAL ASSIST/AMBULANCE CALL,2221 HAMILTON DR,NA,NRSP
3/15/2023 10:46AM,230304800,SELF,MEETING,2521-121 UNIVERSITY BLVD,NA,GIE
3/15/2023 10:19AM,230304792,PHONE,MEDICAL ASSIST/AMBULANCE CALL,1325-5 COCONINO RD,NA,DUP
3/15/2023 10:12AM,230304786,PHONE,VANDALISM / CRIMINAL MISCHIEF,800 BILLY SUNDAY RD,23000941,RPT
3/15/2023 09:20AM,230304778,E911,MEDICAL ASSIST/AMBULANCE CALL,908 FURMAN DR,NA,DUP
3/15/2023 09:18AM,230304774,E911,MEDICAL ASSIST/AMBULANCE CALL,908 FURMAN DR,NA,DUP
3/15/2023 09:15AM,230304769,PHONE,FIRE STRUCTURE,2202 HAYES AVE,NA,DUP
3/15/2023 09:13AM,230304767,PHONE,MEDICAL ASSIST/AMBULANCE CALL,1425-206 COCONINO RD,NA,DUP
3/15/2023 08:25AM,230304756,PHONE,ESCORT BUSINESS/FUNERAL,1517 NORTHWESTERN AVE,NA,NOR
3/15/2023 07:31AM,230304750,PHONE,TRESPASS,3207 OAKLAND ST,23000940,RPT
3/15/2023 06:18AM,230304745,SELF,TRAFFIC STOP / ENFORCEMENT,112 MM INTERSTATE 35 N,NA,CIT
3/15/2023 04:58AM,230304734,SELF,TRAFFIC STOP / ENFORCEMENT,110 MM INTERSTATE 35 S,NA,CIT
3/15/2023 04:18AM,230304730,E911,MEDICAL ASSIST/AMBULANCE CALL,2901-126 WESSEX DR,NA,NRSP
3/15/2023 04:04AM,230304727,W911,MEDICAL ASSIST/AMBULANCE CALL,1325-207 COCONINO RD,NA,NRSP
3/15/2023 12:44AM,230304695,PHONE,SUSPICIOUS PERSON/VEH/ACTIVITY,2609 UNIVERSITY BLVD,NA,INFO
3/14/2023 10:38PM,230304679,PHONE,ANIMAL CALL,COTTONWOOD RD/UNIVERSITY BLVD,NA,INFO
3/14/2023 10:35PM,230304678,PHONE,DISORDERLY CONDUCT,3414-140 ORION DR,NA,UTL
3/14/2023 10:28PM,230304674,PHONE,SUSPICIOUS PERSON/VEH/ACTIVITY,4919 SCHUBERT ST,NA,INFO
3/14/2023 10:08PM,230304669,SELF,TRAFFIC STOP / ENFORCEMENT,100-BLK S DUFF AVE,NA,CIT
3/14/2023 10:05PM,230304664,PHONE,MEDICAL ASSIST/AMBULANCE CALL,2525-317 BOBCAT DR,NA,NRSP
3/14/2023 09:27PM,230304657,SELF,TRAFFIC STOP / ENFORCEMENT,E 6TH ST/CARROLL AVE,NA,WAR
3/14/2023 09:03PM,230304646,PHONE,MISSING PERSON / RUNAWAY,703 BURNETT AVE,NA,NOR
3/14/2023 08:56PM,230304644,SELF,DISORDERLY CONDUCT,2000-BLK ASHMORE DR,23000939,ARR
3/14/2023 08:44PM,230304642,SELF,TRAFFIC STOP / ENFORCEMENT,SOUTH DAKOTA AVE/US HIGHWAY 30,NA,CIT
3/14/2023 08:39PM,230304641,PHONE,DISORDERLY CONDUCT,DUFF AVE/E LINCOLN WAY,NA,UTL
3/14/2023 08:15PM,230304635,SELF,TRAFFIC STOP / ENFORCEMENT,1300-BLK GRAND AVE,NA,CIT
3/14/2023 07:57PM,230304632,SELF,TRAFFIC STOP / ENFORCEMENT,7TH ST/GRAND AVE,NA,WAR
3/14/2023 06:46PM,230304627,PHONE,SCAM,201-208 S 5TH ST,23000938,RPT
3/14/2023 06:28PM,230304625,PHONE,TRAFFIC HAZARD,LINCOLN WAY/UNIVERSITY BLVD,NA,NOR
3/14/2023 05:25PM,230304610,PHONE,VEHICLE UNLOCK,1016 S DUFF AVE,NA,ASC
3/14/2023 04:23PM,230304594,PHONE,SUSPICIOUS PERSON/VEH/ACTIVITY,BEACH AVE/GREENBRIAR CIR,23000937,ARR
3/14/2023 03:49PM,230304588,W911,MOTORIST ASSISTANCE,MORTENSEN PKWY/UNIVERSITY BLVD,NA,ASC
3/14/2023 03:13PM,230304579,W911,MEDICAL ASSIST/AMBULANCE CALL,1100-103 ADAMS ST,NA,NRSP
3/14/2023 03:07PM,230304577,PHONE,HIT & RUN PROPERTY DAMAGE,2420-104 LINCOLN WAY,NA,ASC
3/14/2023 02:54PM,230304576,PHONE,911 HANG UP / INCOMPLETE CALL,203 N RUSSELL AVE,NA,CBC
3/14/2023 02:21PM,230304568,E911,MEDICAL ASSIST/AMBULANCE CALL,2347 HILTON CT,NA,NRSP
3/14/2023 02:09PM,230304563,PHONE,MEDICAL ASSIST/AMBULANCE CALL,823 DOUGLAS AVE,NA,NRSP
3/14/2023 02:07PM,230304560,PHONE,MEDICAL ASSIST/AMBULANCE CALL,1417 20TH ST,NA,NRSP
3/14/2023 02:04PM,230304558,PHONE,THEFT / FRAUD / FORGERY,2708 STATE AVE,23000936,RPT
3/14/2023 02:04PM,230304557,PHONE,RECKLESS DRIVER,500-BLK S DUFF AVE,NA,UTL
3/14/2023 01:48PM,230304550,PHONE,SUBJECT WITH WEAPON,515 CLARK AVE,23000935,RPT
3/14/2023 01:26PM,230304543,W911,CIVIL MATTER,4518 HUTCHISON ST,NA,NAT
3/14/2023 01:16PM,230304537,W911,MEDICAL ASSIST/AMBULANCE CALL,2811-202 WEST ST,NA,NRSP
3/14/2023 01:08PM,230304535,PHONE,MOTOR VEH CRASH/PROP DAMAGE,137 LYNN AVE,23000934,RPT
3/14/2023 12:01PM,230304521,E911,MEDICAL ASSIST/AMBULANCE CALL,1505-102 BUCKEYE AVE,NA,NRSP
3/14/2023 11:24AM,230304512,SELF,PARKING ENFORCEMENT/COMPLAINT,600-BLK 12TH ST,NA,NOR
3/14/2023 10:58AM,230304505,PHONE,DISORDERLY CONDUCT,202 BEEDLE DR,NA,NOR
3/14/2023 10:25AM,230304493,PHONE,MEDICAL ASSIST/AMBULANCE CALL,238 MAIN ST,NA,NRSP
3/14/2023 10:20AM,230304489,PHONE,THEFT / FRAUD / FORGERY,2913 ONTARIO ST,23000933,RPT
3/14/2023 10:01AM,230304480,PHONE,MEDICAL ASSIST/AMBULANCE CALL,209-7 S 5TH ST,NA,NRSP
3/14/2023 09:45AM,230304470,PHONE,MEDICAL ASSIST/AMBULANCE CALL,515 CLARK AVE,NA,ASC
3/14/2023 09:07AM,230304458,W911,MEDICAL ASSIST/AMBULANCE CALL,133-10 BEEDLE DR,23000932,RPT
3/14/2023 08:40AM,230304452,W911,MEDICAL ASSIST/AMBULANCE CALL,811 DELAWARE AVE,NA,NRSP
3/14/2023 07:54AM,230304445,PHONE,TRESPASS,129 MAIN ST,NA,NOR
3/14/2023 07:35AM,230304442,W911,MEDICAL ASSIST/AMBULANCE CALL,4241 EISENHOWER CT,NA,NRSP
