Call Received Date/Time,Incident ID,How Call was Rec'd,Nature Code Description,Location Address,Report Number Assigned to Event,Closing Disposition or Cancel Code
3/8/2023 05:23AM,230302479,PHONE,SUSPICIOUS PERSON/VEH/ACTIVITY,4912-1231 MORTENSEN RD,NA,NOR
3/8/2023 03:12AM,230302464,PHONE,SUSPICIOUS PERSON/VEH/ACTIVITY,2330 PRAIRIE VIEW WEST,NA,ASC
3/8/2023 12:57AM,230302436,PHONE,TRESPASS,3911 TRIPP ST,NA,NOR
3/8/2023 12:42AM,230302431,SELF,SUSPICIOUS PERSON/VEH/ACTIVITY,5205 GRAND AVE,NA,NOR
3/8/2023 12:36AM,230302428,W911,MEDICAL ASSIST/AMBULANCE CALL,227-4 S 5TH ST,NA,NRSP
3/8/2023 12:18AM,230302415,SELF,MOTORIST ASSISTANCE,200-BLK LYNN AVE,NA,NOR
3/7/2023 11:54PM,230302404,SELF,TRAFFIC STOP / ENFORCEMENT,LINCOLN WAY/WELCH AVE,NA,WAR
3/7/2023 11:34PM,230302399,E911,DISORDERLY CONDUCT,3311 E LINCOLN WAY,NA,ASC
3/7/2023 11:18PM,230302397,W911,DISORDERLY CONDUCT,808 KELLOGG AVE,NA,ASC
3/7/2023 10:17PM,230302388,PHONE,VANDALISM / CRIMINAL MISCHIEF,1111 DUFF AVE,23000853,RPT
3/7/2023 09:47PM,230302382,PHONE,SUSPICIOUS PERSON/VEH/ACTIVITY,1400 GATEWAY HILLS PARK DR,NA,ASC
3/7/2023 09:41PM,230302378,PHONE,TRESPASS,2519 CHAMBERLAIN ST,23000852,RPT
3/7/2023 08:45PM,230302365,PHONE,MOTOR VEH CRASH/PROP DAMAGE,2257 13TH ST,23000850,RPT
3/7/2023 08:33PM,230302363,PHONE,HARASSMENT,216-7 S KELLOGG AVE,23000851,RPT
3/7/2023 08:27PM,230302361,PHONE,TRESPASS,815-5 24TH ST,NA,ASC
3/7/2023 08:08PM,230302359,W911,TRESPASS,229 S DUFF AVE,NA,ASC
3/7/2023 06:55PM,230302346,PHONE,SUSPICIOUS PERSON/VEH/ACTIVITY,4912-1231 MORTENSEN RD,NA,UTL
3/7/2023 06:24PM,230302336,PHONE,ANIMAL CALL,2514 MELROSE AVE,23000849,RPT
3/7/2023 06:04PM,230302333,PHONE,THEFT OF MOTOR VEHICLE,4112 LINCOLN SWING,23000848,RPT
3/7/2023 06:03PM,230302332,PHONE,ANIMAL CALL,2503 FERNDALE AVE,NA,TOT
3/7/2023 05:33PM,230302326,PHONE,ANIMAL CALL,2621 HUNT ST,NA,NOR
3/7/2023 05:08PM,230302321,SELF,OUTREACH,1822 JACK TRICE WAY,NA,ASC
3/7/2023 04:46PM,230302314,PHONE,PARKING ENFORCEMENT/COMPLAINT,2800-BLK NORTHRIDGE PKWY,NA,NOR
3/7/2023 04:33PM,230302310,PHONE,MEDICAL ASSIST/AMBULANCE CALL,804 TOP O HOLLOW RD,NA,NRSP
3/7/2023 04:24PM,230302305,PHONE,CIVIL MATTER,515 CLARK AVE,NA,INFO
3/7/2023 04:20PM,230302303,PHONE,MEDICAL ASSIST/AMBULANCE CALL,NORTHRIDGE PKWY/MAPLEWOOD RD,NA,ASC
3/7/2023 04:20PM,230302302,W911,DISORDERLY CONDUCT,3715 COLUMBINE CIR,NA,ASC
3/7/2023 03:40PM,230302292,PHONE,RECKLESS DRIVER,ONTARIO ST/KENTUCKY AVE,NA,UTL
3/7/2023 03:23PM,230302290,SELF,TRAFFIC STOP / ENFORCEMENT,UNIVERSITY BLVD/MORTENSEN PKWY,NA,ASC
3/7/2023 03:17PM,230302289,PHONE,TRESPASS,1517 NORTHWESTERN AVE,NA,ASC
3/7/2023 03:08PM,230302287,PHONE,MISSING PERSON / RUNAWAY,3905-7 TRIPP ST,NA,REF
3/7/2023 03:06PM,230302286,PHONE,PRIVATE TOW,515 S 4TH ST,NA,PTOW
3/7/2023 02:50PM,230302281,PHONE,MEDICAL ASSIST/AMBULANCE CALL,325 S DUFF AVE,NA,NRSP
3/7/2023 02:33PM,230302275,PHONE,CIVIL MATTER,515 S 4TH ST,NA,CBC
3/7/2023 02:29PM,230302274,PHONE,DISORDERLY CONDUCT,219-4 S KELLOGG AVE,NA,ASC
3/7/2023 01:53PM,230302268,PHONE,THEFT / FRAUD / FORGERY,2801-1015 GRAND AVE,23000847,RPT
3/7/2023 01:41PM,230302266,PHONE,VANDALISM / CRIMINAL MISCHIEF,320 E 7TH ST,NA,TOT
3/7/2023 01:29PM,230302265,SELF,TRAFFIC STOP / ENFORCEMENT,1600-BLK CARROLL AVE,NA,WAR
3/7/2023 01:23PM,230302263,WALK,THEFT / FRAUD / FORGERY,1008 MURRAY DR,NA,NOR
3/7/2023 01:02PM,230302260,W911,MOTORIST ASSISTANCE,S DAYTON AVE/US HIGHWAY 30 RAMP,NA,NOR
3/7/2023 12:58PM,230302259,PHONE,EQUIPMENT/SIGN MALFUNCTION,100-BLK S SHELDON AVE,NA,REF
3/7/2023 12:49PM,230302258,PHONE,CIVIL MATTER,216 N HAZEL AVE,NA,NOR
3/7/2023 12:49PM,230302255,W911,MEDICAL ASSIST/AMBULANCE CALL,3833 WELBECK DR,NA,NRSP
3/7/2023 12:46PM,230302252,PHONE,EQUIPMENT/SIGN MALFUNCTION,2800-BLK WEST ST,NA,NOR
3/7/2023 12:31PM,230302249,PHONE,MOTOR VEH CRASH/PROP DAMAGE,309 KITTY HAWK DR,NA,NOR
3/7/2023 12:28PM,230302247,PHONE,RECKLESS DRIVER,MORTENSEN RD/SOUTH DAKOTA AVE,NA,NOR
3/7/2023 11:57AM,230302243,PHONE,PARKING ENFORCEMENT/COMPLAINT,100-BLK N RIVERSIDE DR,NA,NOR
3/7/2023 11:20AM,230302235,SELF,TRAFFIC STOP / ENFORCEMENT,500-BLK S DUFF AVE,NA,CIT
3/7/2023 11:17AM,230302233,PHONE,HARASSMENT,3803-9 TRIPP ST,NA,NOR
3/7/2023 10:59AM,230302230,SELF,TRAFFIC STOP / ENFORCEMENT,20TH ST/GRAND AVE,NA,CIT
3/7/2023 10:57AM,230302229,PHONE,EQUIPMENT/SIGN MALFUNCTION,LINCOLN WAY/BEACH RD,NA,MAIN
3/7/2023 10:41AM,230302221,PHONE,MEDICAL ASSIST/AMBULANCE CALL,2630 KNAPP ST,NA,NOR
3/7/2023 10:20AM,230302214,E911,SUSPICIOUS PERSON/VEH/ACTIVITY,1618 DOUGLAS AVE,NA,NOR
3/7/2023 10:15AM,230302211,PHONE,CIVIL MATTER,1215 DUFF AVE,NA,NOR
3/7/2023 10:15AM,230302210,PHONE,MOTORIST ASSISTANCE,632 18TH ST,NA,NOR
3/7/2023 10:14AM,230302209,PHONE,CITIZEN CONTACT,515 CLARK AVE,NA,NOR
3/7/2023 10:11AM,230302208,PHONE,DISORDERLY CONDUCT,703 BURNETT AVE,23000845,RPT
3/7/2023 10:06AM,230302207,PHONE,MISSING PERSON / RUNAWAY,125 S 3RD ST,23000846,RPT
3/7/2023 10:02AM,230302204,PHONE,CIVIL MATTER,613-210 S 17TH ST,NA,NOR
3/7/2023 09:59AM,230302200,PHONE,MEDICAL ASSIST/AMBULANCE CALL,1816 PHILADELPHIA ST,NA,NRSP
3/7/2023 09:57AM,230302198,SELF,TRAFFIC STOP / ENFORCEMENT,LINCOLN WAY/GRAND AVE,NA,CIT
3/7/2023 09:55AM,230302197,PHONE,SUSPICIOUS PERSON/VEH/ACTIVITY,2900 HOOVER AVE,NA,ASC
3/7/2023 09:36AM,230302191,SELF,TRAFFIC STOP / ENFORCEMENT,100-BLK S GRAND AVE,NA,CIT
3/7/2023 09:19AM,230302182,SELF,TRAFFIC STOP / ENFORCEMENT,100-BLK S GRAND AVE,NA,CIT
3/7/2023 08:48AM,230302168,SELF,TRAFFIC STOP / ENFORCEMENT,6TH ST/N UNIVERSITY BLVD,NA,CIT
3/7/2023 08:39AM,230302160,WALK,HARASSMENT,1130 SCHOLL RD,NA,ASC
3/7/2023 08:29AM,230302157,PHONE,ANIMAL CALL,311 ASH AVE,NA,NOR
3/7/2023 08:18AM,230302153,PHONE,SCAM,515 CLARK AVE,NA,NOR
3/7/2023 08:12AM,230302151,PHONE,TRESPASS,2601 E 13TH ST,NA,NOR
