Call Received Date/Time,Incident ID,How Call was Rec'd,Nature Code Description,Location Address,Report Number Assigned to Event,Closing Disposition or Cancel Code
3/6/2023 04:55AM,230301756,SELF,TRAFFIC STOP / ENFORCEMENT,UNIVERSITY BLVD/GREEN HILLS DR,NA,NOR
3/6/2023 02:29AM,230301738,PHONE,SUSPICIOUS PERSON/VEH/ACTIVITY,2330 PRAIRIE VIEW WEST,NA,CBC
3/6/2023 02:20AM,230301734,PHONE,DISTURBANCE & NOISE PARTY,5308-104 MORTENSEN RD,NA,NOR
3/6/2023 01:19AM,230301709,W911,MEDICAL ASSIST/AMBULANCE CALL,1325 COCONINO RD,NA,NRSP
3/6/2023 12:36AM,230301696,SELF,TRAFFIC STOP / ENFORCEMENT,1600-BLK GOLDEN ASPEN DR,23000829,ARR
3/5/2023 11:55PM,230301690,W911,GENERAL ASSAULT,125 MAIN ST,23000828,ARR
3/5/2023 09:56PM,230301674,PHONE,RECKLESS DRIVER,E LINCOLN WAY/DAYTON AVE,NA,UTL
3/5/2023 09:54PM,230301673,W911,DISORDERLY CONDUCT,1400-BLK DELAWARE AVE,NA,DUP
3/5/2023 09:53PM,230301672,PHONE,DISORDERLY CONDUCT,1516 DELAWARE AVE,NA,NOR
3/5/2023 09:34PM,230301663,PHONE,MEDICAL ASSIST/AMBULANCE CALL,2507 DEERE ST,NA,NRSP
3/5/2023 08:49PM,230301647,PHONE,MISSING PERSON / RUNAWAY,703 BURNETT AVE,23000826,RPT
3/5/2023 08:49PM,230301647,PHONE,MISSING PERSON / RUNAWAY,703 BURNETT AVE,23000826,RPT
3/5/2023 08:49PM,230301646,W911,MOTOR VEH CRASH/PROP DAMAGE,907 NORTH DAKOTA AVE,NA,NOR
3/5/2023 08:41PM,230301644,PHONE,DISORDERLY CONDUCT,1111 DUFF AVE,NA,NOR
3/5/2023 08:35PM,230301642,PHONE,SEVERE WEATHER CONDITIONS,515 CLARK AVE,NA,INFO
3/5/2023 08:25PM,230301639,E911,MEDICAL ASSIST/AMBULANCE CALL,2007 DOUGLAS AVE,NA,NRSP
3/5/2023 08:24PM,230301636,PHONE,MISSING PERSON / RUNAWAY,1416-106 BIG BLUESTEM CT,NA,NOR
3/5/2023 07:29PM,230301621,PHONE,DOMESTIC DISPUTE,211-1 S 5TH ST,23000824,RPT
3/5/2023 07:26PM,230301618,PHONE,LAW DEPARTMENT ASSIST,1900-BLK ISAAC NEWTON DR,23000825,RPT
3/5/2023 07:07PM,230301615,PHONE,MOTORIST ASSISTANCE,LINCOLN WAY/BEACH AVE,NA,NOR
3/5/2023 06:35PM,230301606,PHONE,HARASSMENT,1300-112 COCONINO RD,NA,NOR
3/5/2023 06:33PM,230301605,PHONE,JUVENILE TROUBLE,515 CLARK AVE,NA,ASC
3/5/2023 06:21PM,230301599,PHONE,THEFT / FRAUD / FORGERY,3105 GRAND AVE,23000823,RPT
3/5/2023 06:17PM,230301597,PHONE,PARKING ENFORCEMENT/COMPLAINT,211 S 5TH ST,NA,NOR
3/5/2023 05:44PM,230301590,PHONE,MEDICAL ASSIST/AMBULANCE CALL,142 FINCH ST,NA,NRSP
3/5/2023 05:31PM,230301586,SELF,MOTOR VEH CRASH/PROP DAMAGE,UNIVERSITY BLVD/S 4TH ST,NA,NOR
3/5/2023 05:24PM,230301582,PHONE,SUSPICIOUS PERSON/VEH/ACTIVITY,209 LINCOLN WAY,NA,ASC
3/5/2023 05:08PM,230301572,PHONE,TRESPASS,225 S KELLOGG AVE,NA,NOR
3/5/2023 05:08PM,230301571,PHONE,MOTORIST ASSISTANCE,S DUFF AVE/US HIGHWAY 30 RAMP,NA,UTL
3/5/2023 04:07PM,230301558,PHONE,GENERAL ALARM BANK / RESIDENTI,1402 MEADOWLANE AVE,NA,NBA
3/5/2023 03:37PM,230301549,PHONE,THEFT / FRAUD / FORGERY,3105 GRAND AVE,23000822,ARR
3/5/2023 03:33PM,230301547,PHONE,TRESPASS,1404 S DUFF AVE,NA,ASC
3/5/2023 03:29PM,230301546,PHONE,DISORDERLY CONDUCT,4733-313 TORONTO ST,NA,NOR
3/5/2023 03:09PM,230301543,PHONE,CIVIL MATTER,216-7 S KELLOGG AVE,NA,ASC
3/5/2023 03:06PM,230301541,PHONE,MEDICAL ASSIST/AMBULANCE CALL,4717-105 MORTENSEN RD,NA,NRSP
