Call Received Date/Time,Incident ID,How Call was Rec'd,Nature Code Description,Location Address,Report Number Assigned to Event,Closing Disposition or Cancel Code
4/10/2023 05:03AM,230402926,SELF,TRAFFIC STOP / ENFORCEMENT,110 MM INTERSTATE 35 S,NA,CIT
4/10/2023 04:34AM,230402925,SELF,TRAFFIC STOP / ENFORCEMENT,110 MM INTERSTATE 35 S,NA,CIT
4/10/2023 02:12AM,230402913,SELF,TRAFFIC STOP / ENFORCEMENT,110 MM INTERSTATE 35 S,NA,WAR
4/10/2023 01:41AM,230402904,PHONE,THEFT / FRAUD / FORGERY,3414-110 ORION DR,23001287,RPT
4/10/2023 01:35AM,230402903,PHONE,CRIME FREE HOUSING CHECK,919 S 16TH ST,NA,NOR
4/10/2023 01:22AM,230402899,PHONE,GENERAL ALARM BANK / RESIDENTI,637-101 LINCOLN WAY,NA,BIL
4/10/2023 12:41AM,230402883,PHONE,MEDICAL ASSIST/AMBULANCE CALL,219-3 S 5TH ST,NA,NRSP
4/10/2023 12:32AM,230402881,PHONE,DISORDERLY CONDUCT,424 JEFFREY LN,NA,UTL
4/10/2023 12:05AM,230402874,PHONE,TRESPASS,1100 E 13TH ST,NA,NOR
4/9/2023 11:53PM,230402870,PHONE,GENERAL ASSAULT,119-521 STANTON AVE,23001286,RPT
4/9/2023 11:30PM,230402862,PHONE,VANDALISM / CRIMINAL MISCHIEF,2615 CLAYTON DR,NA,ASC
4/9/2023 11:06PM,230402860,PHONE,DISTURBANCE & NOISE PARTY,3505 LINCOLN WAY,NA,NOR
4/9/2023 10:58PM,230402859,PHONE,ANIMAL CALL,1418 KELLOGG AVE,NA,ASC
4/9/2023 10:44PM,230402856,W911,MEDICAL ASSIST/AMBULANCE CALL,1305 ROOSEVELT AVE,NA,ASC
4/9/2023 10:38PM,230402853,PHONE,VANDALISM / CRIMINAL MISCHIEF,STANGE RD/BLOOMINGTON RD,23001285,RPT
4/9/2023 10:36PM,230402852,PHONE,VANDALISM / CRIMINAL MISCHIEF,STANGE RD/DALTON ST,NA,DUP
4/9/2023 09:56PM,230402844,SELF,TRAFFIC STOP / ENFORCEMENT,148 MM US HIGHWAY 30 W,23001284,RPT
4/9/2023 09:47PM,230402837,SELF,TRAFFIC STOP / ENFORCEMENT,STANGE RD/BLANKENBURG DR,NA,WAR
4/9/2023 09:36PM,230402831,SELF,TRAFFIC STOP / ENFORCEMENT,US HIGHWAY 30/UNIVERSITY BLVD,NA,CIT
4/9/2023 09:17PM,230402826,SELF,LAW DEPARTMENT ASSIST,225 S KELLOGG AVE,23001283,RPT
4/9/2023 09:01PM,230402819,SELF,TRAFFIC STOP / ENFORCEMENT,NORTH DAKOTA AVE/ONTARIO ST,NA,CIT
4/9/2023 08:57PM,230402818,SELF,TRAFFIC STOP / ENFORCEMENT,DUFF AVE/LINCOLN WAY,NA,WAR
4/9/2023 08:00PM,230402801,PHONE,SUSPICIOUS PERSON/VEH/ACTIVITY,632 STONEHAVEN DR,NA,NAT
4/9/2023 07:52PM,230402799,PHONE,HARASSMENT,4130-103 MARICOPA DR,NA,NOR
4/9/2023 06:31PM,230402781,PHONE,MEDICAL ASSIST/AMBULANCE CALL,1508 HARDING AVE,NA,NRSP
4/9/2023 06:29PM,230402778,W911,SUSPICIOUS PERSON/VEH/ACTIVITY,224-2 S KELLOGG AVE,NA,UTL
4/9/2023 06:04PM,230402773,PHONE,HARASSMENT,4605 HUTCHISON ST,NA,NOR
4/9/2023 05:44PM,230402770,E911,MEDICAL ASSIST/AMBULANCE CALL,3440-407 GRAND AVE,NA,NRSP
4/9/2023 05:38PM,230402767,W911,RECKLESS DRIVER,LINCOLN WAY/UNIVERSITY BLVD,NA,ASC
4/9/2023 05:33PM,230402766,SELF,CITIZEN CONTACT,800-BLK LINCOLN WAY,NA,ASC
4/9/2023 05:33PM,230402764,PHONE,LAW DEPARTMENT ASSIST,515 CLARK AVE,NA,NOR
