Call Received Date/Time,Incident ID,How Call was Rec'd,Nature Code Description,Location Address,Report Number Assigned to Event,Closing Disposition or Cancel Code
4/13/2023 05:44AM,230404095,PHONE,TRAFFIC HAZARD,GRAND AVE/LINCOLN WAY,NA,NOR
4/13/2023 05:18AM,230404094,SELF,TRAFFIC STOP / ENFORCEMENT,US HIGHWAY 30/S DAYTON AVE,NA,CIT
4/13/2023 05:07AM,230404091,E911,MEDICAL ASSIST/AMBULANCE CALL,2205-1201 GREEN HILLS DR,NA,NRSP
4/13/2023 04:58AM,230404089,SELF,TRAFFIC STOP / ENFORCEMENT,US HIGHWAY 30/S DAYTON AVE,NA,CIT
4/13/2023 04:45AM,230404086,SELF,PARKING ENFORCEMENT/COMPLAINT,4737 TORONTO ST,NA,NOR
4/13/2023 03:08AM,230404071,SELF,MEDICAL ASSIST/AMBULANCE CALL,1910 ISAAC NEWTON DR,NA,NOR
4/13/2023 03:02AM,230404068,PHONE,SUSPICIOUS PERSON/VEH/ACTIVITY,615 LUTHER DR,NA,NOR
4/13/2023 02:53AM,230404066,SELF,OPEN DOOR,116 WASHINGTON AVE,NA,NOR
4/13/2023 02:18AM,230404062,SELF,CITIZEN CONTACT,640 LINCOLN WAY,NA,NOR
4/13/2023 02:12AM,230404061,PHONE,DISORDERLY CONDUCT,312-8 HILLCREST AVE,NA,NOR
4/13/2023 01:46AM,230404056,PHONE,DISORDERLY CONDUCT,2327-1 KNAPP ST,NA,NOR
4/13/2023 01:21AM,230404051,PHONE,PRIVATE TOW,5310 MORTENSEN RD,NA,PTOW
4/13/2023 01:12AM,230404048,SELF,CITIZEN CONTACT,210 S 5TH ST,NA,NOR
4/13/2023 01:02AM,230404044,SELF,CITIZEN CONTACT,700-BLK S GRAND AVE,NA,NOR
4/13/2023 12:58AM,230404043,PHONE,PRIVATE TOW,5310 MORTENSEN RD,NA,PTOW
